Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung,Bemerkung
20,74,1,SPD,Abdi,Sanae,,1,0,0,0,0,Sanae Abdi,
20,74,1,SPD,Ahmetovic,Adis,,1,0,0,0,0,Adis Ahmetovic,
20,74,1,SPD,Alabali-Radovan,Reem,,1,0,0,0,0,Reem Alabali-Radovan,
20,74,1,SPD,Andres,Dagmar,,1,0,0,0,0,Dagmar Andres,
20,74,1,SPD,Annen,Niels,,1,0,0,0,0,Niels Annen,
20,74,1,SPD,Arlt,Johannes,,1,0,0,0,0,Johannes Arlt,
20,74,1,SPD,Baehrens,Heike,,1,0,0,0,0,Heike Baehrens,
20,74,1,SPD,Bahr,Ulrike,,1,0,0,0,0,Ulrike Bahr,
20,74,1,SPD,Baldy,Daniel,,1,0,0,0,0,Daniel Baldy,
20,74,1,SPD,Baradari,Nezahat,,1,0,0,0,0,Nezahat Baradari,
20,74,1,SPD,Bartol,Sören,,1,0,0,0,0,Sören Bartol,
20,74,1,SPD,Bartz,Alexander,,1,0,0,0,0,Alexander Bartz,
20,74,1,SPD,Bas,Bärbel,,1,0,0,0,0,Bärbel Bas,
20,74,1,SPD,Becker,Holger,,1,0,0,0,0,Dr. Holger Becker,
20,74,1,SPD,Berghahn,Jürgen,,1,0,0,0,0,Jürgen Berghahn,
20,74,1,SPD,Bergt,Bengt,,1,0,0,0,0,Bengt Bergt,
20,74,1,SPD,Blankenburg,Jakob,,1,0,0,0,0,Jakob Blankenburg,
20,74,1,SPD,Breymaier,Leni,,1,0,0,0,0,Leni Breymaier,
20,74,1,SPD,Budde,Katrin,,1,0,0,0,0,Katrin Budde,
20,74,1,SPD,Cademartori Dujisin,Isabel,,1,0,0,0,0,Isabel Cademartori Dujisin,
20,74,1,SPD,Castellucci,Lars,,1,0,0,0,0,Dr. Lars Castellucci,
20,74,1,SPD,Coße,Jürgen,,1,0,0,0,0,Jürgen Coße,
20,74,1,SPD,Daldrup,Bernhard,,1,0,0,0,0,Bernhard Daldrup,
20,74,1,SPD,De Ridder,Daniela,,1,0,0,0,0,Dr. Daniela De Ridder,
20,74,1,SPD,Demir,Hakan,,1,0,0,0,0,Hakan Demir,
20,74,1,SPD,Diaby,Karamba,,1,0,0,0,0,Dr. Karamba Diaby,
20,74,1,SPD,Diedenhofen,Martin,,1,0,0,0,0,Martin Diedenhofen,
20,74,1,SPD,Dieren,Jan,,1,0,0,0,0,Jan Dieren,
20,74,1,SPD,Dilcher,Esther,,1,0,0,0,0,Esther Dilcher,
20,74,1,SPD,Dittmar,Sabine,,1,0,0,0,0,Sabine Dittmar,
20,74,1,SPD,Döring,Felix,,1,0,0,0,0,Felix Döring,
20,74,1,SPD,Droßmann,Falko,,1,0,0,0,0,Falko Droßmann,
20,74,1,SPD,Echeverria,Axel,,0,0,0,0,1,Axel Echeverria,
20,74,1,SPD,Eichwede,Sonja,,0,0,0,0,1,Sonja Eichwede,gesetzlicher Mutterschutz
20,74,1,SPD,Engelhardt,Heike,,1,0,0,0,0,Heike Engelhardt,
20,74,1,SPD,Esdar,Wiebke,,1,0,0,0,0,Dr. Wiebke Esdar,
20,74,1,SPD,Esken,Saskia,,1,0,0,0,0,Saskia Esken,
20,74,1,SPD,Fäscher,Ariane,,1,0,0,0,0,Ariane Fäscher,
20,74,1,SPD,Fechner,Johannes,,1,0,0,0,0,Dr. Johannes Fechner,
20,74,1,SPD,Fiedler,Sebastian,,0,0,0,0,1,Sebastian Fiedler,
20,74,1,SPD,Franke,Edgar,,1,0,0,0,0,Dr. Edgar Franke,
20,74,1,SPD,Funke,Fabian,,1,0,0,0,0,Fabian Funke,
20,74,1,SPD,Gava,Manuel,,1,0,0,0,0,Manuel Gava,
20,74,1,SPD,Gerdes,Michael,,1,0,0,0,0,Michael Gerdes,
20,74,1,SPD,Gerster,Martin,,1,0,0,0,0,Martin Gerster,
20,74,1,SPD,Glöckner,Angelika,,1,0,0,0,0,Angelika Glöckner,
20,74,1,SPD,Gremmels,Timon,,1,0,0,0,0,Timon Gremmels,
20,74,1,SPD,Griese,Kerstin,,1,0,0,0,0,Kerstin Griese,
20,74,1,SPD,Grötsch,Uli,,0,0,0,0,1,Uli Grötsch,
20,74,1,SPD,Hagedorn,Bettina,,1,0,0,0,0,Bettina Hagedorn,
20,74,1,SPD,Hagl-Kehl,Rita,,1,0,0,0,0,Rita Hagl-Kehl,
20,74,1,SPD,Hakverdi,Metin,,1,0,0,0,0,Metin Hakverdi,
20,74,1,SPD,Hartmann,Sebastian,,1,0,0,0,0,Sebastian Hartmann,
20,74,1,SPD,Heidenblut,Dirk,,1,0,0,0,0,Dirk Heidenblut,
20,74,1,SPD,Heil (Peine),Hubertus,,1,0,0,0,0,Hubertus Heil (Peine),
20,74,1,SPD,Heiligenstadt,Frauke,,1,0,0,0,0,Frauke Heiligenstadt,
20,74,1,SPD,Heinrich,Gabriela,,1,0,0,0,0,Gabriela Heinrich,
20,74,1,SPD,Hellmich,Wolfgang,,1,0,0,0,0,Wolfgang Hellmich,
20,74,1,SPD,Hennig,Anke,,1,0,0,0,0,Anke Hennig,
20,74,1,SPD,Heselhaus,Nadine,,1,0,0,0,0,Nadine Heselhaus,
20,74,1,SPD,Hitschler,Thomas,,0,0,0,0,1,Thomas Hitschler,
20,74,1,SPD,Hostert,Jasmina,,1,0,0,0,0,Jasmina Hostert,
20,74,1,SPD,Hubertz,Verena,,1,0,0,0,0,Verena Hubertz,
20,74,1,SPD,Hümpfer,Markus,,1,0,0,0,0,Markus Hümpfer,
20,74,1,SPD,Junge,Frank,,1,0,0,0,0,Frank Junge,
20,74,1,SPD,Juratovic,Josip,,1,0,0,0,0,Josip Juratovic,
20,74,1,SPD,Kaczmarek,Oliver,,1,0,0,0,0,Oliver Kaczmarek,
20,74,1,SPD,Kaiser,Elisabeth,,1,0,0,0,0,Elisabeth Kaiser,
20,74,1,SPD,Karaahmetoglu,Macit,,1,0,0,0,0,Macit Karaahmetoglu,
20,74,1,SPD,Kasper,Carlos,,1,0,0,0,0,Carlos Kasper,
20,74,1,SPD,Kassautzki,Anna,,1,0,0,0,0,Anna Kassautzki,
20,74,1,SPD,Katzmarek,Gabriele,,0,0,0,0,1,Gabriele Katzmarek,
20,74,1,SPD,Kersten,Franziska,,1,0,0,0,0,Dr. Franziska Kersten,
20,74,1,SPD,Kiziltepe,Cansel,,1,0,0,0,0,Cansel Kiziltepe,
20,74,1,SPD,Kleebank,Helmut,,1,0,0,0,0,Helmut Kleebank,
20,74,1,SPD,Klinck,Kristian,,1,0,0,0,0,Dr. Kristian Klinck,
20,74,1,SPD,Klingbeil,Lars,,1,0,0,0,0,Lars Klingbeil,
20,74,1,SPD,Klose,Annika,,1,0,0,0,0,Annika Klose,
20,74,1,SPD,Klüssendorf,Tim,,1,0,0,0,0,Tim Klüssendorf,
20,74,1,SPD,Kofler,Bärbel,,1,0,0,0,0,Dr. Bärbel Kofler,
20,74,1,SPD,Koß,Simona,,1,0,0,0,0,Simona Koß,
20,74,1,SPD,Kramme,Anette,,1,0,0,0,0,Anette Kramme,
20,74,1,SPD,Kreiser,Dunja,,1,0,0,0,0,Dunja Kreiser,
20,74,1,SPD,Kröber,Martin,,1,0,0,0,0,Martin Kröber,
20,74,1,SPD,Kühnert,Kevin,,1,0,0,0,0,Kevin Kühnert,
20,74,1,SPD,Lahrkamp,Sarah,,1,0,0,0,0,Sarah Lahrkamp,
20,74,1,SPD,Larem,Andreas,,1,0,0,0,0,Andreas Larem,
20,74,1,SPD,Lauterbach,Karl,,1,0,0,0,0,Dr. Karl Lauterbach,
20,74,1,SPD,Lehmann,Sylvia,,1,0,0,0,0,Sylvia Lehmann,
20,74,1,SPD,Leiser,Kevin,,1,0,0,0,0,Kevin Leiser,
20,74,1,SPD,Licina-Bode,Luiza,,1,0,0,0,0,Luiza Licina-Bode,
20,74,1,SPD,Limbacher,Esra,,1,0,0,0,0,Esra Limbacher,
20,74,1,SPD,Lindh,Helge,,1,0,0,0,0,Helge Lindh,
