Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung,Bemerkung
19,137,6,CDU/CSU,Abercron,Michael,von,0,1,0,0,0,Dr. Michael von Abercron,
19,137,6,CDU/CSU,Albani,Stephan,,0,1,0,0,0,Stephan Albani,
19,137,6,CDU/CSU,Altenkamp,Norbert Maria,,0,1,0,0,0,Norbert Maria Altenkamp,
19,137,6,CDU/CSU,Altmaier,Peter,,0,0,0,0,1,Peter Altmaier,
19,137,6,CDU/CSU,Amthor,Philipp,,0,1,0,0,0,Philipp Amthor,
19,137,6,CDU/CSU,Auernhammer,Artur,,0,1,0,0,0,Artur Auernhammer,
19,137,6,CDU/CSU,Aumer,Peter,,0,1,0,0,0,Peter Aumer,
19,137,6,CDU/CSU,Bär,Dorothee,,0,1,0,0,0,Dorothee Bär,
19,137,6,CDU/CSU,Bareiß,Thomas,,0,1,0,0,0,Thomas Bareiß,
19,137,6,CDU/CSU,Barthle,Norbert,,0,1,0,0,0,Norbert Barthle,
19,137,6,CDU/CSU,Beermann,Maik,,0,1,0,0,0,Maik Beermann,
19,137,6,CDU/CSU,Behrens (Börde),Manfred,,0,1,0,0,0,Manfred Behrens (Börde),
19,137,6,CDU/CSU,Bellmann,Veronika,,0,1,0,0,0,Veronika Bellmann,
19,137,6,CDU/CSU,Benning,Sybille,,0,1,0,0,0,Sybille Benning,
19,137,6,CDU/CSU,Berghegger,André,,0,1,0,0,0,Dr. André Berghegger,
19,137,6,CDU/CSU,Bernstein,Melanie,,0,1,0,0,0,Melanie Bernstein,
19,137,6,CDU/CSU,Bernstiel,Christoph,,0,1,0,0,0,Christoph Bernstiel,
19,137,6,CDU/CSU,Beyer,Peter,,0,0,0,0,1,Peter Beyer,
19,137,6,CDU/CSU,Biadacz,Marc,,0,1,0,0,0,Marc Biadacz,
19,137,6,CDU/CSU,Bilger,Steffen,,0,1,0,0,0,Steffen Bilger,
19,137,6,CDU/CSU,Bleser,Peter,,0,1,0,0,0,Peter Bleser,
19,137,6,CDU/CSU,Brackmann,Norbert,,0,1,0,0,0,Norbert Brackmann,
19,137,6,CDU/CSU,Brand (Fulda),Michael,,0,1,0,0,0,Michael Brand (Fulda),
19,137,6,CDU/CSU,Brandl,Reinhard,,0,1,0,0,0,Dr. Reinhard Brandl,
19,137,6,CDU/CSU,Braun,Helge,,0,0,0,0,1,Dr. Helge Braun,
19,137,6,CDU/CSU,Breher,Silvia,,0,1,0,0,0,Silvia Breher,
19,137,6,CDU/CSU,Brehm,Sebastian,,0,1,0,0,0,Sebastian Brehm,
19,137,6,CDU/CSU,Brehmer,Heike,,0,1,0,0,0,Heike Brehmer,
